Status,Internal ID,Language,Created At,Updated At,IP Address,Location,Username,GET Variables,Referrer,Number of Saves,Weighted Score,Completion Time,Invite Code,Invite Email,Invite Name,Collector,[Gender] Please select your gender:,[Age] Please select your age:,[OwnCar] Do you own a car?,[Education] What is your level of education?,[Occupation] What is your occupation status?,[usage.0] Please select choose which statement applies to each of the following supermarkets: | Pick 'n Pay,[usage.1] Please select choose which statement applies to each of the following supermarkets: | Woolworths,[usage.2] Please select choose which statement applies to each of the following supermarkets: | Spar,[usage.3] Please select choose which statement applies to each of the following supermarkets: | Checkers,[usage.4] Please select choose which statement applies to each of the following supermarkets: | Friendly 7,[usage.5] Please select choose which statement applies to each of the following supermarkets: | Fruit 'n Veg,[usage.6] Please select choose which statement applies to each of the following supermarkets: | Shoprite,[usage.7] Please select choose which statement applies to each of the following supermarkets: | Other,[Attr.0] Tick all that apply | Is clean [Pick 'n Pay],[Attr.0] Tick all that apply | Is clean [Woolworths],[Attr.0] Tick all that apply | Is clean [Spar],[Attr.0] Tick all that apply | Is clean [Checkers],[Attr.0] Tick all that apply | Is clean [Friendly 7],[Attr.0] Tick all that apply | Is clean [Fruit 'n Veg],[Attr.0] Tick all that apply | Is clean [Shoprite],[Attr.0] Tick all that apply | Is clean [Other],[Attr.1] Tick all that apply | Has the items that I want [Pick 'n Pay],[Attr.1] Tick all that apply | Has the items that I want [Woolworths],[Attr.1] Tick all that apply | Has the items that I want [Spar],[Attr.1] Tick all that apply | Has the items that I want [Checkers],[Attr.1] Tick all that apply | Has the items that I want [Friendly 7],[Attr.1] Tick all that apply | Has the items that I want [Fruit 'n Veg],[Attr.1] Tick all that apply | Has the items that I want [Shoprite],[Attr.1] Tick all that apply | Has the items that I want [Other],[Attr.2] Tick all that apply | Is nearby [Pick 'n Pay],[Attr.2] Tick all that apply | Is nearby [Woolworths],[Attr.2] Tick all that apply | Is nearby [Spar],[Attr.2] Tick all that apply | Is nearby [Checkers],[Attr.2] Tick all that apply | Is nearby [Friendly 7],[Attr.2] Tick all that apply | Is nearby [Fruit 'n Veg],[Attr.2] Tick all that apply | Is nearby [Shoprite],[Attr.2] Tick all that apply | Is nearby [Other],[Attr.3] Tick all that apply | Has convenient opening hours [Pick 'n Pay],[Attr.3] Tick all that apply | Has convenient opening hours [Woolworths],[Attr.3] Tick all that apply | Has convenient opening hours [Spar],[Attr.3] Tick all that apply | Has convenient opening hours [Checkers],[Attr.3] Tick all that apply | Has convenient opening hours [Friendly 7],[Attr.3] Tick all that apply | Has convenient opening hours [Fruit 'n Veg],[Attr.3] Tick all that apply | Has convenient opening hours [Shoprite],[Attr.3] Tick all that apply | Has convenient opening hours [Other],[Attr.4] Tick all that apply | Helpful staff [Pick 'n Pay],[Attr.4] Tick all that apply | Helpful staff [Woolworths],[Attr.4] Tick all that apply | Helpful staff [Spar],[Attr.4] Tick all that apply | Helpful staff [Checkers],[Attr.4] Tick all that apply | Helpful staff [Friendly 7],[Attr.4] Tick all that apply | Helpful staff [Fruit 'n Veg],[Attr.4] Tick all that apply | Helpful staff [Shoprite],[Attr.4] Tick all that apply | Helpful staff [Other],[Attr.5] Tick all that apply | Good selection of novelty items [Pick 'n Pay],[Attr.5] Tick all that apply | Good selection of novelty items [Woolworths],[Attr.5] Tick all that apply | Good selection of novelty items [Spar],[Attr.5] Tick all that apply | Good selection of novelty items [Checkers],[Attr.5] Tick all that apply | Good selection of novelty items [Friendly 7],[Attr.5] Tick all that apply | Good selection of novelty items [Fruit 'n Veg],[Attr.5] Tick all that apply | Good selection of novelty items [Shoprite],[Attr.5] Tick all that apply | Good selection of novelty items [Other],[Attr.6] Tick all that apply | Easy access to parking [Pick 'n Pay],[Attr.6] Tick all that apply | Easy access to parking [Woolworths],[Attr.6] Tick all that apply | Easy access to parking [Spar],[Attr.6] Tick all that apply | Easy access to parking [Checkers],[Attr.6] Tick all that apply | Easy access to parking [Friendly 7],[Attr.6] Tick all that apply | Easy access to parking [Fruit 'n Veg],[Attr.6] Tick all that apply | Easy access to parking [Shoprite],[Attr.6] Tick all that apply | Easy access to parking [Other],[Attr.7] Tick all that apply | Easy to find what you're looking for [Pick 'n Pay],[Attr.7] Tick all that apply | Easy to find what you're looking for [Woolworths],[Attr.7] Tick all that apply | Easy to find what you're looking for [Spar],[Attr.7] Tick all that apply | Easy to find what you're looking for [Checkers],[Attr.7] Tick all that apply | Easy to find what you're looking for [Friendly 7],[Attr.7] Tick all that apply | Easy to find what you're looking for [Fruit 'n Veg],[Attr.7] Tick all that apply | Easy to find what you're looking for [Shoprite],[Attr.7] Tick all that apply | Easy to find what you're looking for [Other],[Attr.8] Tick all that apply | Is a socially conscious supermarket [Pick 'n Pay],[Attr.8] Tick all that apply | Is a socially conscious supermarket [Woolworths],[Attr.8] Tick all that apply | Is a socially conscious supermarket [Spar],[Attr.8] Tick all that apply | Is a socially conscious supermarket [Checkers],[Attr.8] Tick all that apply | Is a socially conscious supermarket [Friendly 7],[Attr.8] Tick all that apply | Is a socially conscious supermarket [Fruit 'n Veg],[Attr.8] Tick all that apply | Is a socially conscious supermarket [Shoprite],[Attr.8] Tick all that apply | Is a socially conscious supermarket [Other],[Attr.9] Tick all that apply | Good value for money [Pick 'n Pay],[Attr.9] Tick all that apply | Good value for money [Woolworths],[Attr.9] Tick all that apply | Good value for money [Spar],[Attr.9] Tick all that apply | Good value for money [Checkers],[Attr.9] Tick all that apply | Good value for money [Friendly 7],[Attr.9] Tick all that apply | Good value for money [Fruit 'n Veg],[Attr.9] Tick all that apply | Good value for money [Shoprite],[Attr.9] Tick all that apply | Good value for money [Other],[Attr.10] Tick all that apply | Offers a good loyalty programme [Pick 'n Pay],[Attr.10] Tick all that apply | Offers a good loyalty programme [Woolworths],[Attr.10] Tick all that apply | Offers a good loyalty programme [Spar],[Attr.10] Tick all that apply | Offers a good loyalty programme [Checkers],[Attr.10] Tick all that apply | Offers a good loyalty programme [Friendly 7],[Attr.10] Tick all that apply | Offers a good loyalty programme [Fruit 'n Veg],[Attr.10] Tick all that apply | Offers a good loyalty programme [Shoprite],[Attr.10] Tick all that apply | Offers a good loyalty programme [Other],"[(loop:""Pick 'n Pay"") brand_rating:0] How would rate {{usage}} in general?","[(loop:""Woolworths"") brand_rating:1] How would rate {{usage}} in general?","[(loop:""Spar"") brand_rating:2] How would rate {{usage}} in general?","[(loop:""Checkers"") brand_rating:3] How would rate {{usage}} in general?","[(loop:""Friendly 7"") brand_rating:4] How would rate {{usage}} in general?","[(loop:""Fruit 'n Veg"") brand_rating:5] How would rate {{usage}} in general?","[(loop:""Shoprite"") brand_rating:6] How would rate {{usage}} in general?","[(loop:""Other"") brand_rating:7] How would rate {{usage}} in general?"
Complete,47395930,en,2014/03/28 4:10:00 PM,2014/03/28 4:15:02 PM,196.210.198.246,South Africa,,,http://www.google.com/url?q=http%3A%2F%2Ffluidsurveys.com%2Fs%2Fza-supermarket%2F&sa=D&sntz=1&usg=AFQjCNFKTWr8Sqtl48qT4g8OHZyKTyBo6Q,,58.0,00:05:02,,,,,Male,18-24,Yes,Bachelors Degree,Full-time Employee,I have recently shopped there,I have recently shopped there,I have recently shopped there,I haven't thought about shopping there,I haven't thought about shopping there,I have recently shopped there,I haven't thought about shopping there,I haven't thought about shopping there,1,1,1,,,1,,,1,1,1,,,1,,,1,1,,,,1,,,1,1,,,,,,,,1,,,,,,,,1,,,,1,,,1,1,,,,1,,,1,1,1,,,1,,,1,1,,,,,,,1,,1,,,1,,,1,,,,,,,,8,9,7,,,8,,
Complete,47396159,en,2014/03/28 4:12:54 PM,2014/03/28 4:15:46 PM,105.236.155.24,South Africa,,,http://t.co/38G297ywj9,,64.0,00:02:51,,,,,Male,25-34,Yes,Bachelors Degree,Full-time Employee,I have recently shopped there,I have recently shopped there,I have recently shopped there,I have considered shopping there,I have considered shopping there,I haven't thought about shopping there,I haven't thought about shopping there,I have considered shopping there,1,1,1,1,,,,,1,1,1,,,,,,1,1,,1,,,,,1,1,1,,,,,,,1,1,,,,,,1,1,1,1,,,,,1,1,,,,,,,1,1,1,1,,,,,1,1,,,,,,,1,,,1,,,,,1,,,,,,,,7,8,7,6,5,,,5
Incomplete,47396160,en,2014/03/28 4:12:55 PM,2014/03/28 4:13:14 PM,197.155.4.24,South Africa,brendon-4Nn,,http://fluidsurveys.com/s/za-supermarket/,,11.0,00:00:19,,,,,Male,35-44,Yes,College,Full-time Employee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,47396491,en,2014/03/28 4:17:00 PM,2014/03/28 4:19:54 PM,134.225.103.6,United Kingdom,,,http://t.co/38G297ywj9,,62.0,00:02:53,,,,,Male,25-34,Yes,Masters and above,Full-time Employee,I have recently shopped there,I have recently shopped there,I have considered shopping there,I have considered shopping there,I haven't thought about shopping there,I haven't thought about shopping there,I have considered shopping there,,1,1,1,,,,,,1,1,,1,,,1,,1,1,,1,,,1,,1,1,,1,,,1,,1,1,,,,,,,,,,,,,,,1,1,,1,,,1,,1,1,,,,,,,,1,,,,,,,1,1,,1,,,1,,,,,,,,,,8,9,7,6,,,6,
Complete,47397296,en,2014/03/28 4:27:40 PM,2014/03/28 4:29:51 PM,41.160.72.49,South Africa,,,http://fluidsurveys.com/s/za-supermarket/,,54.0,00:02:10,,,,,Male,25-34,Yes,Bachelors Degree,Full-time Employee,I have recently shopped there,I have considered shopping there,I have recently shopped there,I have recently shopped there,I haven't thought about shopping there,I haven't thought about shopping there,I haven't thought about shopping there,I haven't thought about shopping there,1,1,1,1,,,,,1,,1,,,,,,,1,,,,,,,,1,1,,,,,,,1,,,,,,,,1,,1,,,,,1,1,1,1,,,,,1,1,1,1,,,,,,1,,,,,,,1,,1,1,,,,,1,1,,,,,,,7,6,6,7,,,,
Complete,47399538,en,2014/03/28 4:55:04 PM,2014/03/28 4:59:16 PM,41.13.108.198,South Africa,,,http://t.co/38G297ywj9,,60.0,00:04:11,,,,,Female,25-34,Yes,Bachelors Degree,Part-time Employee,I have recently shopped there,I have recently shopped there,I have recently shopped there,I have considered shopping there,I haven't thought about shopping there,I have recently shopped there,I haven't thought about shopping there,,1,1,1,,,,,,1,1,1,,,,,,1,1,1,,,,,,1,1,1,,,1,,,1,1,,,,,,,,1,1,,,,,,1,1,1,,,1,,,1,1,1,,,1,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,8,10,8,5,,6,,
Complete,47423728,en,2014/03/28 9:24:12 PM,2014/03/28 9:26:20 PM,119.226.67.218,India,,sample-provider=Cint&respondent=reviewer&TEST_DATA=,http://fluidsurveys.com/s/za-supermarket/?respondent=reviewer&sample-provider=Cint,,74.0,00:02:06,,,,,Male,25-34,Yes,Bachelors Degree,Full-time Employee,I have recently shopped there,I have considered shopping there,I haven't thought about shopping there,I have considered shopping there,I haven't thought about shopping there,I have considered shopping there,I haven't thought about shopping there,I have considered shopping there,1,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,9,,9,,9
Incomplete,47423947,en,2014/03/28 9:26:47 PM,2014/03/28 9:26:59 PM,119.226.67.218,India,,sample-provider=Cint&respondent=reviewer&TEST_DATA=,http://fluidsurveys.com/s/za-supermarket/?respondent=reviewer&sample-provider=Cint,,5.0,00:00:12,,,,,Female,18-24,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,47426371,en,2014/03/28 9:55:43 PM,2014/03/28 10:01:38 PM,41.213.65.153,South Africa,,sample-provider=Cint&respondent=f43a2dba-638a-4475-b362-800676a783e2,http://www.cint.com/cpx3/CandidateRespondent/3ac24e3e-5c79-4f46-81ed-823c1253d57c/Invite,,72.0,00:05:55,,,,,Female,50+,Yes,High school,Retired,I have recently shopped there,I have recently shopped there,I have recently shopped there,I have recently shopped there,I haven't thought about shopping there,I have recently shopped there,I have recently shopped there,,1,1,1,1,,1,1,,1,,1,1,,1,1,,1,,1,1,,,1,,1,,1,,,,1,,1,1,1,1,,1,1,,,1,,,,,,,1,1,1,1,,1,1,,1,1,1,1,,1,1,,,1,,,,,,,,,1,1,,,1,,1,,,,,,,,8,8,8,8,,8,8,
Complete,47426450,en,2014/03/28 9:56:28 PM,2014/03/28 9:58:10 PM,105.184.120.58,,,sample-provider=Cint&respondent=6b56eeb1-7a40-4e83-8cfe-d7b5564afdb0,http://www.cint.com/cpx3/CandidateRespondent/db3ad75c-6370-4e45-b1dd-84cd45bcd2e9/Invite,,49.0,00:01:42,,,,,Male,35-44,Yes,Bachelors Degree,Self Employed,I have recently shopped there,I have considered shopping there,I haven't thought about shopping there,I haven't thought about shopping there,I haven't thought about shopping there,I haven't thought about shopping there,I have recently shopped there,I haven't thought about shopping there,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,8,5,,,,,4,
